[08:40:10,563] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[08:41:44,515] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[08:42:18,281] INFO >> Failed to initialize!   (Class: FormMain, Method: ShowMessage)
[08:42:46,239] INFO >> Failed to initialize!   (Class: FormMain, Method: ShowMessage)
[08:43:56,606] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[08:46:15,237] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[08:46:39,194] INFO >> the specific log factory 'ConsoleLogFactory' cannot be found!   (Class: FormMain, Method: ShowMessage)
[08:47:34,831] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[08:48:44,963] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[08:50:01,952] INFO >> Failed to initialize!   (Class: FormMain, Method: ShowMessage)
[08:50:48,161] INFO >> Failed to initialize!   (Class: FormMain, Method: ShowMessage)
[08:53:32,707] INFO >> Failed to initialize!   (Class: FormMain, Method: ShowMessage)
[08:56:17,441] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[08:57:06,417] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[09:01:17,406] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[09:03:27,403] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[09:03:40,079] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[09:03:53,415] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[09:04:05,279] INFO >> Failed to initialize!   (Class: FormMain, Method: ShowMessage)
[09:04:15,053] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[09:33:38,109] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[09:46:20,848] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[09:57:22,786] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:01:32,746] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:02:54,759] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:03:13,179] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:03:33,336] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:04:05,929] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:12:37,476] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:14:39,786] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:18:00,500] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:19:10,361] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:19:43,590] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:20:03,906] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:21:24,173] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:24:21,671] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:24:38,513] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:25:00,695] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:27:28,364] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:28:18,408] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:28:31,181] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:30:12,408] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:30:35,793] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:31:41,895] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:32:39,537] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:34:04,513] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:34:10,876] INFO >> 点击确认按钮，锁定工单，并询问设备是否具备开工条件.   (Class: FormMain, Method: ShowMessage)
[10:36:43,637] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:36:47,546] INFO >> 点击确认按钮，锁定工单，并询问设备是否具备开工条件.   (Class: FormMain, Method: ShowMessage)
[10:37:16,395] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:38:28,204] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:38:33,319] INFO >> 点击确认按钮，锁定工单，并询问设备是否具备开工条件.   (Class: FormMain, Method: ShowMessage)
[10:44:47,589] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:49:24,845] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:52:02,596] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:57:57,976] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:58:12,584] DEBUG >> 测试启动   (Class: FormMain, Method: staStripTest2_Click)
[10:58:13,769] DEBUG >> 测试启动   (Class: FormMain, Method: staStripTest2_Click)
[10:58:14,980] DEBUG >> 测试启动   (Class: FormMain, Method: staStripTest2_Click)
[10:58:16,168] DEBUG >> 测试启动   (Class: FormMain, Method: staStripTest2_Click)
[10:58:41,459] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:59:02,166] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[10:59:41,732] INFO >> 点击确认按钮，锁定工单，并询问设备是否具备开工条件.   (Class: FormMain, Method: ShowMessage)
[10:59:45,975] INFO >> 点击确认按钮，锁定工单，并询问设备是否具备开工条件.   (Class: FormMain, Method: ShowMessage)
